Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State ESC,Pin State Servo1,Pin State Servo2,Pin State Servo3,Debug 0,Debug 1,Debug 2,Debug 3,Debug 3,App message,
16.053084999999964,1231,,,,-0.09375,0.02734375,-0.98046875,0.010452351330664418,0.08595926614894242,15.884975062825525,1.288101226129943,11026,0,20.336487812354964,12.06861595138515,59.34464231357167,0.007122545492805795,0.0042268491463270195,0.1093090152634583,-0.01074315022264652,0.20516939445495389,0.560546875,0.640230010048433,0,1,1,1,0,0,0,0,0,,
16.172080000000076,1234,,,,0.017578125,-0.01171875,-0.943359375,0.011376779458415663,0.08993115483823977,15.882503484153176,1.3463829828099878,11244,0,21.257833869538963,13.395595610148012,63.01486638929376,0.0067134868396677505,0.004230494762079453,0.11217537748065988,-0.0141251749249983,0.20956366065839022,0.583984375,0.6655946811924381,0,1,1,1,0,0,0,0,0,,
16.278474999999627,1238,,,,-0.095703125,0.25390625,-0.958984375,0.011923369989959007,0.08993115483823977,15.881401797413496,1.3936232544763716,11331,0,22.016408468804762,14.148318659757122,64.26260977036284,0.006356313919761798,0.004084733210035778,0.11450823048922856,-0.015593696469132858,0.20956366065839022,0.59375,0.6941194775467613,0,1,1,1,0,0,0,0,0,,
16.394790000000036,1242,,,,0.0703125,-0.078125,-0.93359375,0.01217542825027183,0.09706088196318857,15.879367693719477,1.4240584377574423,11490,0,22.47609011320866,14.6494371650002,65.17787164588327,0.006625570721248064,0.004318405980502286,0.11584817885703153,-0.016050981876210384,0.2174515752994292,0.6015625,0.7186739167063078,0,1,1,1,0,0,0,0,0,,
16.500279999999794,1245,,,,0.09375,-0.029296875,-0.9453125,0.01217542825027183,0.10094337307800245,15.877572318890696,1.453846477836743,11757,0,22.998572678477522,14.990426294269488,65.179811390199,0.006733856068962555,0.0043891146850372625,0.11584817885703153,-0.016050981876210384,0.2217469372356638,0.599609375,0.7462425921627859,0,1,1,1,0,0,0,0,0,,
16.61189500000002,1249,,,,0.041015625,0.130859375,-0.955078125,0.012561990278541338,0.10515510142834558,15.8769774273106,1.4933828911043658,11851,0,23.623257859993913,15.589328724951963,65.9914429133526,0.006745325811241407,0.0044513378320450115,0.11717163855411632,-0.01736128005677994,0.22640654806459706,0.599609375,0.7721862854041373,0,1,1,1,0,0,0,0,0,,
16.72664500000002,1253,,,,-0.0390625,0.01171875,-1,0.012753644401808406,0.10515510142834558,15.87456275545911,1.5458960073854966,12015,0,24.45791434828089,16.046214473486653,65.60745223402304,0.006553265357514358,0.004299430439200012,0.1174587942426214,-0.018318115529671445,0.22640654806459706,0.595703125,0.8026484957680667,0,1,1,1,0,0,0,0,0,,
16.836294999999925,1256,,,,0.0078125,0.064453125,-0.9921875,0.012946730462210508,0.10878071180067775,15.873357015241563,1.5830058952265955,12089,0,25.032743390312987,16.390132607896142,65.4747757860159,0.006636963495235624,0.004345536967505248,0.11751234090732839,-0.01947836871819611,0.2304177121158197,0.603515625,0.8293065208886939,0,1,1,1,0,0,0,0,0,,
16.947310000000055,1260,,,,0.05078125,0.09375,-0.939453125,0.012946730462210508,0.11141669160720342,15.873174135451121,1.625160201733562,12236,0,25.67621979800439,16.589810808211787,64.61157810115485,0.006715971200349874,0.004339294977365125,0.11751234090732839,-0.01947836871819611,0.23333400657491885,0.603515625,0.8576051713760726,0,1,1,1,0,0,0,0,0,,
17.056529999999796,1264,,,,-0.025390625,0.001953125,-1.044921875,0.01320626117961419,0.11461381557835286,15.86959461831957,1.6768419031090536,12394,0,26.50430436658783,17.140509878303718,64.6706649653163,0.006686721479821896,0.004324347245379459,0.11755440628565166,-0.021062786108564848,0.23687111823982393,0.60546875,0.8875714865381306,0,1,1,1,0,0,0,0,0,,
17.15973499999987,1267,,,,-0.119140625,0.06640625,-0.998046875,0.013468364134513045,0.11461381557835286,15.865553304956194,1.7279159651410458,12527,0,27.32311758894793,17.668452499057445,64.66484815116503,0.006486918737476705,0.004194756151278784,0.11881220457301149,-0.02165114011615471,0.23687111823982393,0.59375,0.9177324964654803,0,1,1,1,0,0,0,0,0,,
17.282095000000204,1271,,,,0.087890625,0.03515625,-0.951171875,0.013468364134513045,0.11888950454506006,15.864227137433543,1.7715461443785907,12611,0,28.020569938175488,17.786401275094608,63.47622947833851,0.0066842922694842705,0.004242936699980677,0.11881220457301149,-0.02165114011615471,0.24160149136771006,0.59375,0.9470267446126439,0,1,1,1,0,0,0,0,0,,
17.671744999999646,1277,,,,-0.05078125,-0.01171875,-0.978515625,0.014148361840359131,0.12410552927685867,15.860809912830852,1.8345706898500782,12833,0,29.01544047009658,19.013771259610998,65.52983842932407,0.006527139071062841,0.004277223687324764,0.12098664492916261,-0.02408398543535092,0.24737219719262213,0.58984375,0.9982717436059478,0,1,1,1,0,0,0,0,0,,
17.81364000000013,1288,,,,-0.0390625,0.091796875,-0.9921875,0.014709232818178304,0.12751589416991974,15.859887523157656,1.8903797010332917,12999,0,29.856948403348376,20.02282522158737,67.06253080888155,0.006368526557003554,0.004270895084362311,0.12434557119967295,-0.024787395449065282,0.25114522618795765,0.5859375,1.0882506998007753,0,1,1,1,0,0,0,0,0,,
18.21542500000028,1295,,,,0.02734375,0.052734375,-0.958984375,0.01525358480825369,0.13134541177322562,15.858696423944508,1.9417072824565391,13068,0,30.72503007371821,20.874469048487626,67.9396212091697,0.006292155813311175,0.004274866825454364,0.12664895532263049,-0.026266482029221907,0.2553819813178323,0.5859375,1.1428554841321121,0,1,1,1,0,0,0,0,0,,
18.3385700000003,1306,,,,-0.01171875,0.078125,-0.9609375,0.015616021665536557,0.13746720307696628,15.853770812253336,2.0577548711802636,13207,0,32.528470912934395,21.59691894937553,66.39389538838692,0.006365130294705352,0.004226057949201196,0.12789926858482537,-0.02748713771044652,0.2621547744988207,0.595703125,1.2399712810764336,0,1,1,1,0,0,0,0,0,,
18.44875,1310,,,,0.07421875,-0.0234375,-0.943359375,0.015583455368842165,0.14065311202997116,15.850583562773574,2.103083462476296,13483,0,33.276244451295526,22.00204219999981,66.11936702233,0.006392729854411986,0.004226832515184724,0.1267256580893582,-0.028260974658714542,0.265679478521151,0.611328125,1.2719713122387684,0,1,1,1,0,0,0,0,0,,
18.564619999999646,1314,,,,-0.015625,0.1328125,-1.015625,0.015735502894005382,0.14065311202997116,15.846073094124971,2.1942776962238506,13637,0,34.66809253481928,22.47050472525404,64.81609769180564,0.006259454949932416,0.004057134435322758,0.12615572462711974,-0.029684208303233293,0.265679478521151,0.611328125,1.3060960404717836,0,1,1,1,0,0,0,0,0,,
18.678740000000225,1318,,,,0.072265625,0.01953125,-0.88671875,0.01643557408554279,0.14363990114519168,15.841385061869754,2.2646175101809556,13853,0,35.760868411152195,23.842700160415315,66.67259834489884,0.006024481295271618,0.0040166782163600055,0.1294028288688998,-0.03134930257890638,0.26898388795769207,0.625,1.3451087034130684,0,1,1,1,0,0,0,0,0,,
18.79523499999987,1322,,,,0.12109375,0.068359375,-0.953125,0.016803741391609374,0.14649701593605055,15.837873405261286,2.3258121183602025,13969,0,36.628250427174045,24.580569016791543,67.10822583694996,0.00595987081649636,0.003999563567124851,0.1309864838349232,-0.03232820410439719,0.27214483327789696,0.646484375,1.380869537327891,0,1,1,1,0,0,0,0,0,,
18.905864999999757,1325,,,,-0.11328125,0.06640625,-1.009765625,0.016803741391609374,0.14931518593603033,15.839529926013821,2.3561564911056356,14059,0,37.18549329335747,24.73905274827514,66.52877387724297,0.0060356064338979555,0.0040154149565282985,0.1309864838349232,-0.03232820410439719,0.2752626923507906,0.658203125,1.4157427608313728,0,1,1,1,0,0,0,0,0,,
19.017185000000055,1329,,,,0.02734375,0.1328125,-1.025390625,0.0170560503336506,0.15401100994353514,15.837900197764121,2.3895130656544827,14124,0,37.724925312710454,25.227027746315635,66.87098128678343,0.0061050002200924445,0.004082473554736106,0.1321537910784713,-0.03293077976280556,0.28045787840649894,0.68359375,1.4503787712499598,0,1,1,1,0,0,0,0,0,,
19.129850000000094,1333,,,,-0.08203125,0.095703125,-0.96875,0.017140401821046092,0.15401100994353514,15.8358790967443,2.430651887475615,14195,0,38.39017396381462,25.478923007871,66.36834475375558,0.006044643641175797,0.0040117299309115175,0.1332053995642222,-0.032581643855148175,0.28045787840649894,0.71484375,1.485386506863387,0,1,1,1,0,0,0,0,0,,
19.610490000000222,1343,,,,-0.09375,0.03515625,-0.97265625,0.01732601116643259,0.1594152400642201,15.834649687555586,2.5322859407394045,16259,0,39.957580095567366,29.500624959809336,73.82985878837528,0.0054037919630991575,0.0039896119755736805,0.133394698879529,-0.03358222744421968,0.28643680370692565,0.783203125,1.5797100755462896,0,1,1,1,0,0,0,0,0,,
19.72644999999972,1353,,,,-0.078125,0.048828125,-0.9765625,0.017718514695184453,0.16401526857697443,15.834022017948548,2.574081635909939,16224,0,40.64324854008821,30.102845007448774,74.06604070478527,0.00544849726118544,0.004035486199268718,0.13433111705596412,-0.03525181701258891,0.29152600720925637,0.830078125,1.6704519616540126,0,1,1,1,0,0,0,0,0,,
19.834600000000094,1356,,,,-0.0234375,0.041015625,-1.013671875,0.01807726860846059,0.16508607368140366,15.832076680728328,2.5974677968232918,15915,0,41.02408828257257,30.12780175695439,73.43929632131025,0.005479526020954944,0.004024125351532402,0.13721727390771377,-0.03508763008002409,0.29271068358086255,0.87890625,1.7025474900227944,0,1,1,1,0,0,0,0,0,,
19.944939999999946,1360,,,,-0.55859375,0.193359375,-1.001953125,0.01807726860846059,0.1661665053484208,15.83020858111476,2.673373476970581,15304,0,42.220475476963884,28.97054475702145,68.61728682527085,0.005735705239306825,0.003935685315507253,0.13721727390771377,-0.03508763008002409,0.29390601022037516,0.90625,1.7379344670013346,0,1,1,1,0,0,0,0,0,,
20.051264999999663,1364,,,,-0.064453125,0.0859375,-1.01953125,0.018716524658739422,0.1661665053484208,15.8273164093372,2.726359357285848,15330,0,43.04632569178631,30.0462323660276,69.79976079993452,0.005530360789471243,0.0038601786024242976,0.13937398169424475,-0.03728101545280421,0.29390601022037516,0.9375,1.7737566630092865,0,1,1,1,0,0,0,0,0,,
20.168310000000055,1367,,,,0.033203125,-0.068359375,-0.91015625,0.01887988454608605,0.1693490521118458,15.823880382695899,2.7754276290587185,15643,0,43.79338801245251,30.928086110149497,70.6227298544593,0.00547557490330032,0.003867000471936356,0.13964960282360364,-0.038070901306723325,0.29742699451206944,0.931640625,1.8086054299316299,0,1,1,1,0,0,0,0,0,,
20.28026500000013,1371,,,,-0.041015625,0.03125,-0.958984375,0.01887988454608605,0.17099236698883136,15.824542629797907,2.8015429456902323,15427,0,44.23111650915838,30.500951351950857,68.95813119624825,0.005606132248655076,0.00386588403106275,0.13964960282360364,-0.038070901306723325,0.2992450623358229,0.919921875,1.8469659663851772,0,1,1,1,0,0,0,0,0,,
20.463839999999852,1375,,,,0.03515625,0.11328125,-0.947265625,0.01914025506543761,0.17334545517675454,15.820769773895027,2.86677353614552,15427,0,45.22863460719658,30.921278731210297,68.36659784173594,0.00560602479229906,0.003832648424659111,0.13987779582447116,-0.039505605230710505,0.30184838199222674,0.9375,1.8968389254571805,0,1,1,1,0,0,0,0,0,,
20.777584999999963,1381,,,,-0.0546875,0.04296875,-0.966796875,0.01923303806133304,0.17616399004400246,15.81813085961356,2.91085948549613,15572,0,45.848587432032446,31.363598631778892,68.4069027824977,0.005616829628265483,0.003842299183266096,0.14000324726175908,-0.03998011887396753,0.304966644733005,0.947265625,1.9433582563644727,0,1,1,1,0,0,0,0,0,,
20.902615000000225,1392,,,,-0.087890625,0.064453125,-0.98046875,0.019219454995244394,0.18065184484697075,15.817246461346326,2.9667738563025727,15746,0,46.74642100806601,31.691041991426236,67.79351511414747,0.005700407228510968,0.003864506436028538,0.13940348161366992,-0.04039467521010061,0.3099317457792032,0.919921875,2.0416223592969076,0,1,1,1,0,0,0,0,0,,
21.017695000000298,1396,,,,-0.12109375,0.0859375,-1,0.019219454995244394,0.1821443275902295,15.816711955613723,3.0006737006156095,15744,0,47.29495076814929,31.686651512230082,66.9979585507242,0.00574829838109992,0.0038512425667412745,0.13940348161366992,-0.04039467521010061,0.31158294171920675,0.916015625,2.077419874210958,0,1,1,1,0,0,0,0,0,,
21.127475000000093,1400,,,,-0.05859375,0.142578125,-0.962890625,0.019351946136919197,0.18399415397915778,15.813146420121726,3.0895186014762013,16239,0,48.69181618677078,32.90856884614193,67.58542076128793,0.005591071275064838,0.0037787490463160765,0.13941614672748245,-0.04121085854848522,0.3136294818463245,0.921875,2.115648807321096,0,1,1,1,0,0,0,0,0,,
21.232984999999868,1403,,,,0.138671875,0.24609375,-1.009765625,0.01986432178498812,0.18399415397915778,15.80984746672654,3.1616367882637952,16369,0,49.77737719969508,34.05146920223048,68.4075198772005,0.0054034130770224025,0.003696340874711351,0.14130436983406058,-0.042836044044474914,0.3136294818463245,0.912109375,2.154123013176178,0,1,1,1,0,0,0,0,0,,
21.3459450000003,1407,,,,0.033203125,-0.041015625,-0.943359375,0.02016485902038681,0.18809092338725034,15.808474540682079,3.2217768464134586,16057,0,50.8240818869009,33.90595812408597,66.71238685538302,0.005547429826312299,0.003700822846260363,0.1422386396615807,-0.04393356462565145,0.31816190880022227,0.880859375,2.1912185697665305,0,1,1,1,0,0,0,0,0,,
21.452080000000073,1410,,,,-0.01171875,0.310546875,-0.98828125,0.02016485902038681,0.1912933533846327,15.80665022322258,3.267945853024358,16432,0,51.54090054579979,34.698301857796004,67.32187736409985,0.005513046551056301,0.0037114864381278595,0.1422386396615807,-0.04393356462565145,0.3217048907433687,0.8671875,2.230120152121304,0,1,1,1,0,0,0,0,0,,
21.57953000000026,1414,,,,-0.07421875,-0.083984375,-1.015625,0.020926929112091413,0.1912933533846327,15.804279782567411,3.325525648168451,16446,0,52.36624854595718,36.040905244939616,68.82468430655241,0.005307673380692666,0.0036529894482846452,0.14561063602738458,-0.04588154949140319,0.3217048907433687,0.857421875,2.2684752505979215,0,1,1,1,0,0,0,0,0,,
21.69366500000004,1418,,,,-0.099609375,0.130859375,-1.029296875,0.02118926320515743,0.1944716825047628,15.802302464161261,3.39778601787442,16678,0,53.49849507020919,37.00743195706914,69.17471586537552,0.005254935893156859,0.0036350869729988907,0.1453818544635604,-0.04770894325451197,0.32522120888028405,0.861328125,2.3161127502723766,0,1,1,1,0,0,0,0,0,,
21.880375,1422,,,,-0.10546875,0.21875,-0.921875,0.021402130856313883,0.19995487076516769,15.798543823047233,3.47966013046691,17090,0,54.86277608333831,38.30240278862361,69.81491919118537,0.005220426297238911,0.0036446364008527357,0.14542904619241878,-0.0489979215235559,0.33128748886559717,0.84375,2.3742754395598027,0,1,1,1,0,0,0,0,0,,
22.180040000000037,1428,,,,0.025390625,0.15625,-0.9921875,0.021535873684882512,0.20210840843621894,15.795622460708579,3.530298191584113,16830,0,55.60256487680128,37.95592896631039,68.2629102639589,0.0053248178595657605,0.003634875637194632,0.14544735254708027,-0.049817218814751325,0.3336700374579651,0.818359375,2.42737324268549,0,1,1,1,0,0,0,0,0,,
